Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
46.7,30.6,17.65,45.5,46.4,39.0,25.65,12.3,58.15
46.2,30.0,17.25,44.9,46.0,38.5,25.35,12.05,57.65
45.5,29.7,16.9,44.5,45.7,38.1,25.0,11.85,57.3
44.7,29.4,16.5,44.2,45.6,37.7,24.7,11.75,56.95
44.3,29.0,16.1,43.8,45.6,37.25,24.5,11.600000000000001,56.75
46.3,29.4,16.2,44.5,46.1,37.5,24.7,11.65,57.650000000000006
50.2,31.6,18.0,48.1,51.5,40.3,26.4,12.8,61.349999999999994
54.7,34.2,20.299999999999997,51.2,56.6,43.4,28.55,12.95,65.3
57.9,36.2,22.35,54.6,60.2,46.8,30.4,13.399999999999999,68.45
60.6,37.9,23.8,57.1,61.8,49.05,32.150000000000006,14.8,70.69999999999999
63.2,39.2,25.45,58.8,61.6,50.75,33.3,16.6,71.9
64.7,40.2,26.799999999999997,59.6,61.5,52.2,34.05,17.85,72.45
65.7,40.7,27.4,59.8,61.5,52.7,34.4,18.3,72.35
65.8,40.4,26.75,59.6,60.7,52.25,34.05,17.9,71.7
64.2,38.9,24.75,57.6,57.9,50.9,32.6,17.0,70.3
60.5,36.4,22.35,54.6,55.0,47.849999999999994,30.55,16.200000000000003,66.85
57.3,35.4,21.4,52.3,52.9,45.45,29.65,15.6,64.0
