Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
50.7,29.25,47.349999999999994,21.15,10.3,30.7,60.4,49.650000000000006,40.0
49.55,28.75,46.5,20.65,10.0,30.2,59.8,49.0,39.2
48.25,28.1,45.8,20.15,9.6,29.7,59.1,48.45,38.5
47.2,27.7,45.1,19.95,9.35,29.3,58.6,48.0,37.8
46.2,27.35,44.5,19.45,9.1,29.2,58.0,47.7,37.1
45.5,26.8,44.0,19.15,8.8,28.9,57.4,47.4,36.6
45.05,26.45,43.7,18.75,8.75,28.5,56.9,47.0,36.2
44.400000000000006,26.1,43.3,18.35,8.65,28.2,56.6,46.8,35.8
43.7,25.75,43.0,18.1,8.75,28.1,56.2,46.400000000000006,35.4
43.3,25.6,42.650000000000006,17.8,8.7,27.9,55.9,46.05,35.1
45.55,26.0,43.5,18.0,8.7,28.0,57.1,47.55,35.6
49.650000000000006,28.45,46.9,19.9,8.8,29.6,60.8,53.05,38.349999999999994
54.25,31.2,50.150000000000006,22.75,10.85,31.4,64.3,59.05,42.05
57.75,33.8,53.0,25.25,12.55,33.4,67.8,61.05,44.7
60.6,35.8,55.4,26.95,13.9,34.6,70.1,63.35,46.7
63.099999999999994,37.7,57.1,28.05,15.899999999999999,35.9,71.3,64.1,48.5
64.4,39.0,58.4,29.05,17.15,36.6,71.5,63.849999999999994,49.849999999999994
65.30000000000001,39.4,58.8,29.1,17.4,36.7,71.0,63.3,50.5
65.65,38.9,58.25,28.4,16.9,35.9,70.3,61.9,50.1
63.4,36.75,56.45,26.5,16.2,34.6,69.0,58.95,48.5
59.75,34.0,53.4,24.85,14.75,33.3,65.6,55.8,45.849999999999994
56.650000000000006,32.2,51.0,23.799999999999997,13.35,32.2,63.5,53.2,43.650000000000006
54.45,30.85,49.6,22.75,12.1,31.7,62.1,51.95,42.2
52.25,29.8,48.55,21.85,11.5,31.0,61.1,50.650000000000006,40.7
50.7,29.15,47.55,21.1,10.7,30.4,60.4,49.6,39.95
49.599999999999994,28.700000000000003,46.849999999999994,20.65,10.5,30.0,59.8,48.95,39.25
48.25,28.15,46.0,20.05,10.15,29.6,59.1,48.400000000000006,38.5
47.3,27.65,45.5,19.799999999999997,9.8,29.3,58.7,48.0,37.849999999999994
46.25,27.4,44.849999999999994,19.4,9.45,29.0,58.0,47.7,37.3
45.65,26.8,44.3,18.95,9.100000000000001,28.5,57.4,47.400000000000006,36.8
45.15,26.45,43.9,18.7,9.05,28.2,56.9,46.95,36.3
44.5,26.1,43.5,18.3,8.95,28.0,56.6,46.8,35.8
43.849999999999994,25.8,43.2,18.15,8.95,27.7,56.3,46.45,35.5
43.5,25.6,42.849999999999994,17.8,8.8,27.5,56.0,46.05,35.349999999999994
45.7,25.799999999999997,43.65,18.1,8.85,27.6,57.3,47.650000000000006,35.7
49.7,28.45,47.05,19.75,9.05,29.5,61.0,53.05,38.5
54.2,31.25,50.349999999999994,22.35,11.1,31.1,64.4,58.95,42.1
57.75,33.849999999999994,53.3,25.049999999999997,12.95,32.9,67.9,61.0,44.7
60.65,35.75,55.650000000000006,26.6,14.3,34.4,70.2,63.3,46.7
63.2,37.6,57.349999999999994,27.8,16.3,35.5,71.5,63.95,48.55
64.5,38.900000000000006,58.55,28.6,17.5,36.2,71.6,63.95,49.75
65.30000000000001,39.3,59.1,28.9,17.9,36.3,71.2,63.35,50.25
65.65,38.8,58.5,28.15,17.4,35.6,70.5,61.9,49.95
63.5,36.65,56.7,26.200000000000003,16.6,34.3,69.1,59.0,48.4
59.9,34.0,53.55,24.55,15.05,33.0,65.8,55.95,45.900000000000006
56.849999999999994,32.3,51.150000000000006,23.6,13.6,32.1,63.6,53.3,43.650000000000006
54.650000000000006,30.799999999999997,49.75,22.700000000000003,12.350000000000001,31.4,62.2,51.95,42.3
52.400000000000006,29.95,48.7,21.9,11.7,30.7,61.4,50.650000000000006,40.8
50.8,29.200000000000003,47.650000000000006,21.1,10.95,30.3,60.7,49.650000000000006,40.05
49.65,28.65,47.0,20.55,10.8,29.9,60.0,48.9,39.3
48.35,28.200000000000003,46.25,19.9,10.45,29.5,59.4,48.400000000000006,38.6
47.55,27.700000000000003,45.650000000000006,19.65,9.85,29.1,58.8,47.95,38.0
46.6,27.3,45.05,19.3,9.5,28.8,58.2,47.65,37.4
45.95,26.7,44.5,18.9,9.3,28.3,57.7,47.25,36.8
45.35,26.35,44.1,18.55,8.95,28.1,57.3,46.9,36.4
44.599999999999994,26.0,43.650000000000006,18.25,8.85,27.8,56.9,46.75,35.95
